Marca,País de Origen,Año de Fundación,Estado Actual,Grupo Automovilístico,Segmento Principal,Tipo de Motorización Destacada,Modelos Más Vendidos/Icónicos,Ventas Anuales (Aprox. Global 2023),Sede Principal,Nota Histórica Relevante,Ventas
Subaru,Japón,1953,Activa,Subaru Corporation,Generalista/AWD,Gasolina Boxer/AWD,Impreza,850000,Tokio,Famosa por sus motores Boxer y tracción integral simétrica.,850000
Hyundai,Corea del Sur,1967,Activa,Hyundai Motor Group,Generalista,Gasolina/Eléctrico,Ioniq 5,7300000,Seúl,Marca con un crecimiento espectacular y fuerte enfoque en diseño y garantía.,7300000
Honda,Japón,1948,Activa,Honda Motor Company,Generalista,Gasolina/Híbrida,Civic,4300000,Tokio,Gran fabricante de motores con reputación de fiabilidad e ingeniería.,4300000
Infiniti,Japón,1989,Activa,Nissan Motor Co.,Lujo/Premium,Gasolina,QX60,80000,Yokohama,División de lujo de Nissan compite con Lexus y Acura.,80000
Audi,Alemania,1909,Activa,Grupo Volkswagen,Lujo/Premium,Gasolina/Eléctrico,A4,1900000,Ingolstadt,"Conocida por la tecnología de tracción total ""quattro"" y su diseño sofisticado.",1900000
Porsche,Alemania,1931,Activa,Grupo Volkswagen,Deportivo/Lujo,Gasolina/Eléctrico,911,320000,Stuttgart,Fundada por Ferdinand Porsche famosa por el diseño atemporal del 911.,320000
Volkswagen,Alemania,1937,Activa,Grupo Volkswagen,Generalista,Gasolina/Eléctrico,Golf,9200000,Wolfsburgo,Fundada para producir el coche del pueblo (Beetle).,9200000
Buick,EE. UU.,1899,Activa,General Motors (GM),Generalista/Premium,Gasolina,Enclave,800000,Detroit,Marca más antigua de GM muy popular en el mercado chino.,800000
Saturn,EE. UU.,1985,Desaparecida,General Motors (GM),Generalista,Gasolina,SL,0,Spring Hill,"Creada por GM como una marca ""diferente"" con un enfoque en la experiencia de compra.",0
Mercedes-Benz,Alemania,1926,Activa,Mercedes-Benz Group,Lujo/Premium,Gasolina/Diésel/Eléctrico,Clase C,2400000,Stuttgart,El fabricante del primer automóvil (Karl Benz 1886).,2400000
Jaguar,Reino Unido,1922,Activa,Tata Motors (JLR),Lujo/Deportivo,Gasolina/Eléctrico,F-Type,60000,Coventry,Conocida por sus lujosos sedanes y deportivos de estilo elegante.,60000
Volvo,Suecia,1927,Activa,Geely Holding Group,Premium/Seguridad,Híbrida/Eléctrico,XC60,700000,Gotemburgo,Líder mundial en seguridad pionero en el cinturón de seguridad de tres puntos.,700000
Pontiac,EE. UU.,1926,Desaparecida,General Motors (GM),Generalista/Deportivo,Gasolina,GTO,0,Detroit,Descontinuada tras la crisis financiera enfocada en rendimiento asequible.,0
Lincoln,EE. UU.,1917,Activa,Ford Motor Company,Lujo/Premium,Gasolina,Navigator,90000,Dearborn,División de lujo de Ford conocida por su estilo clásico americano.,90000
Oldsmobile,EE. UU.,1897,Desaparecida,General Motors (GM),Generalista,Gasolina,Cutlass,0,Lansing,Una de las marcas más antiguas de EE. UU. pionera en la transmisión automática.,0
Lexus,Japón,1989,Activa,Toyota Motor Corp.,Lujo/Premium,Híbrida/Gasolina,RX,825000,Nagoya (Sede Global),División de lujo de Toyota conocida por su fiabilidad y calidad de construcción.,825000
Plymouth,EE. UU.,1928,Desaparecida,Chrysler,Generalista,Gasolina,Barracuda,0,Detroit,Marca histórica de Chrysler enfocada en el mercado de precio asequible.,0
Saab,Suecia,1945,Desaparecida,Varias (último NEVS),Generalista,Gasolina Turbo,900,0,Trollhättan,Famosa por su innovación en seguridad aerodinámica y turboalimentación.,0
Jeep,EE. UU.,1941,Activa,Stellantis,SUV/Todo Terreno,Gasolina/Híbrido,Wrangler,1200000,Auburn Hills,Pionero y líder mundial en vehículos todoterreno.,1200000
Tesla,EE. UU.,2003,Activa,Tesla,Inc.,Eléctrico/Tecnológico,Eléctrica (EV),Model Y,1800000,Austin,
GMC,EE. UU.,1911,Activa,General Motors (GM),Pick-up/SUV Premium,Gasolina/Diésel,Sierra,500000,Detroit,Especializada en camiones y SUVs de lujo dentro de GM.,500000
Alfa Romeo,Italia,1910,Activa,Stellantis,Deportivo/Premium,Gasolina,Giulia,60000,Turín,Conocida por su diseño pasional e historia en la competición.,60000
Kia,Corea del Sur,1944,Activa,Hyundai Motor Group,Generalista,Gasolina/Eléctrico,Sportage,3100000,Seúl,Ha experimentado un rápido crecimiento gracias a su diseño y garantía.,3100000
Maserati,Italia,1914,Activa,Stellantis,Lujo/Deportivo,Gasolina,Ghibli,25000,Módena,Famosa por sus coches de carreras y el tridente en su logo.,25000
Genesis,Corea del Sur,2015,Activa,Hyundai Motor Group,Lujo/Premium,Gasolina/Eléctrico,GV70,225000,Seúl,Marca de lujo lanzada por Hyundai para competir globalmente.,225000
Land Rover,Reino Unido,1948,Activa,Tata Motors (JLR),SUV Lujo/Todo Terreno,Diésel/Gasolina/Híbrido,Range Rover,300000,Coventry,Especialista en vehículos todoterreno de lujo.,300000
Rolls-Royce,Reino Unido,1904,Activa,BMW Group,Ultra-Lujo,Gasolina V12,Phantom,6000,Goodwood,Máxima expresión de lujo y artesanía automotriz.,6000
Ferrari,Italia,1947,Activa,Independiente,Superdeportivo,Gasolina V8/V12,SF90,14000,Maranello,El fabricante de superdeportivos más famoso del mundo con una gran historia en F1.,14000
Lamborghini,Italia,1963,Activa,Grupo Volkswagen (Audi),Superdeportivo,Gasolina V10/V12,Huracán,10000,Sant'Agata Bolognese,Conocida por sus diseños extremos y su rivalidad con Ferrari.,10000
MINI,Reino Unido,,Activa,BMW Group,Generalista/Compacto,Gasolina/Eléctrico,Cooper,300000,Múnich (Sede Corp.),Famosa por su diseño compacto e icónico.,300000
